trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.99}",20,0,-27.184095606512066,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.25, 'e': 0.9801}",20,0,-66.58126557389696,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.970299}",25,0,-253.95127814486747,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0
4,False,"{'a': 0.25, 'e': 0.96059601}",25,0,-93.47208726375602,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.25, 'e': 0.9509900498999999}",30,0,-95.2084669479026,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.941480149401}",25,0,-184.96959850745054,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.25, 'e': 0.9320653479069899}",25,0,-58.057031715641834,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.9227446944279201}",25,0,-34.15776331502393,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.9135172474836408}",30,0,-170.43024298619073,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.25, 'e': 0.9043820750088044}",30,0,-172.51278081570027,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.25, 'e': 0.8953382542587164}",25,10,-60.67394781687878,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.25, 'e': 0.8863848717161292}",20,0,-63.3372824020097,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.25, 'e': 0.8775210229989678}",30,0,-143.9390726972101,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.25, 'e': 0.8687458127689782}",20,0,-129.50272087847313,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.25, 'e': 0.8600583546412884}",25,10,-56.419022745752414,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.25, 'e': 0.8514577710948755}",35,0,-95.88536628684331,"{0: 26, 1: 1, 2: 6, 3: 1, 4: 1}",0
