trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-74.34931887341976,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.68255094547139,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.38726350735895,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.3937772535113,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,12,-6.799136202995275,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-216.17049411822276,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.57206704122467,"{0: 19, 1: 3, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.20428418070412,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.17330928631081,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.88244190181763,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-335.16995006758606,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 6}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-304.272375347705,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 6}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.07086202869414,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,6,-89.93101254914755,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,11,-66.4907037419961,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-154.44496916626517,"{0: 20, 1: 5, 2: 7, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.98480477807226,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.55512287362842,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,3,-69.63365275453133,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.80366911813925,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,11,-37.52551014735423,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,7,-142.20444431107595,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 3}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.63155827868832,"{0: 11, 1: 4, 2: 7, 3: 3, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-264.84875317402106,"{0: 12, 1: 0, 2: 6, 3: 3, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-196.09490743938295,"{0: 11, 1: 4, 2: 5, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.03840411871889,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-52.16151574260425,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.98377856627184,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-233.11144709637082,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-123.00568638592951,"{0: 24, 1: 5, 2: 4, 3: 0, 4: 2}",0
